company_google_maps_url|company_name|company_avg_rating|company_number_of_ratings|company_category|company_address|company_website|company_phone
https://www.google.com/maps/place/Bicudo+G%C3%A1s+-+Entrega+de+G%C3%A1s+em+Aparecida+de+Goi%C3%A2nia,+Dep%C3%B3sito+de+G%C3%A1s,+Disk+G%C3%A1s,+Distribuidora+de+G%C3%A1s+em+Aparecida+de+Goi%C3%A2nia,+G%C3%A1s+Barato+em+Aparecida+de+Goi%C3%A2nia/data=!4m5!3m4!1s0x935ef99912d50f73:0xa8abf535313e9908!8m2!3d-16.7934497!4d-49.3005929?authuser=0&hl=pt-BR&rclk=1|Bicudo Gás - Entrega de Gás em Aparecida de Goiânia, Depósito de Gás, Disk Gás, Distribuidora de Gás em Aparecida de Goiânia, Gás Barato em Aparecida de Goiânia|5,0|198 avaliações|Companhia de gás|Rua 101, qd 109 - lt 14 Gás em - Itapuã, Aparecida de Goiânia - GO, 74940-200|bicudo-gas.business.site|(62) 3537-1500
https://www.google.com/maps/place/Woweb+F%C3%A1brica+Digital/data=!4m5!3m4!1s0x935ef71a11e51d95:0x9861dd68ba6b6877!8m2!3d-16.7339168!4d-49.3108901?authuser=0&hl=pt-BR&rclk=1|Woweb Fábrica Digital|5,0|1 avaliação|Empresa de Software|Rua F 21, 1 - 15 Faiçalville 1, Goiânia - GO, 74360-180|(62) 98626-5471|7M8Q+CJ Goiânia, Goiás
https://www.google.com/maps/place/DotCompany/data=!4m5!3m4!1s0x935ef80661d798a7:0x3de5a717c315f268!8m2!3d-16.7843448!4d-49.359352?authuser=0&hl=pt-BR&rclk=1|DotCompany|4,2|18 avaliações|Empresa de Software|St. Andreia, Goiânia - GO, 74355-422|dotcompany.com.br|(62) 98407-0999
https://www.google.com/maps/place/Emplacar+Drywall/data=!4m5!3m4!1s0x935ef964662e5417:0x8dec7bd74c87be92!8m2!3d-16.7793441!4d-49.3357615?authuser=0&hl=pt-BR&rclk=1|Emplacar Drywall|5,0|1 avaliação|Construtora|Rua 23.e qd 131 lt 13 Escritorio - St. Garavelo, Aparecida de Goiânia - GO, 74930-620|emplacardrywall.com.br|emplacardrywall.com.br
https://www.google.com/maps/place/Company+Acess%C3%ADvel/data=!4m5!3m4!1s0x935ef14dd35cc809:0xd192c833b4ce5261!8m2!3d-16.7516973!4d-49.2797334?authuser=0&hl=pt-BR&rclk=1|Company Acessível|||Loja de pisos|||
https://www.google.com/maps/place/Company+Hero+-+Goi%C3%A2nia/data=!4m5!3m4!1s0x935ef1a45b3f034f:0xb6e11e693c37f98!8m2!3d-16.6969554!4d-49.2695497?authuser=0&hl=pt-BR&rclk=1|Company Hero - Goiânia|5,0|1 avaliação|Locação de escritório virtual|Av. Portugal, n°1148 Edifício Órion Business & Health Complex, Sala C 2501 - St. Marista, Goiânia - GO, 74150-030|(11) 95736-5704|8P3J+65 St. Marista, Goiânia - GO
https://www.google.com/maps/place/Mega+Estrutura+M%C3%A9talica/data=!4m5!3m4!1s0x935ef9ec6cf96943:0xb2a3b31a8e2a2e1c!8m2!3d-16.776548!4d-49.298536?authuser=0&hl=pt-BR&rclk=1|Mega Estrutura Métalica|3,5|2 avaliações|Construtora|Avenida Liberdade, Qd. 99, Lt.07, s/n - Bairro Cardoso II, Aparecida de Goiânia - GO, 74937-425|(62) 3518-5520|6PF2+9H Aparecida de Goiânia, Goiás
https://www.google.com/maps/place/Carlos+Saraiva+Importa%C3%A7%C3%A3o+e+Com%C3%A9rcio/data=!4m5!3m4!1s0x935ef8265c85eaa1:0xf83e78c10022096f!8m2!3d-16.7732599!4d-49.336899?authuser=0&hl=pt-BR&rclk=1|Carlos Saraiva Importação e Comércio|||Empresa de importação e exportação|Av. da Igualdade, 117 - St. Garavelo, Aparecida de Goiânia - GO, 74930-530|6MG7+M6 St. Garavelo, Aparecida de Goiânia - GO|Reivindicar esta empresa
https://www.google.com/maps/place/KF+Company+Ind%C3%BAstria/data=!4m5!3m4!1s0x935efb1404ea5e8b:0xdca80fb2b644fa3b!8m2!3d-16.78014!4d-49.2419281?authuser=0&hl=pt-BR&rclk=1|KF Company Indústria|4,5|2 avaliações|Fábrica de ferramentas e máquinas|Jardim Paraiso, Aparecida de Goiânia - GO, 74984-390|(62) 4141-6364|6Q95+W6 Jardim Paraiso, Aparecida de Goiânia - GO
https://www.google.com/maps/place/RTD+Engenharia/data=!4m5!3m4!1s0x935efa254cb5887b:0x824101c5f9a9ba2c!8m2!3d-16.7719188!4d-49.3032605?authuser=0&hl=pt-BR&rclk=1|RTD Engenharia|4,3|8 avaliações|Construtora|R. H-135, Qd. 297 - Lt. 05 - Cidade Vera Cruz, Aparecida de Goiânia - GO, 74937-140|rtdengenharia.com|(62) 98195-2191
https://www.google.com/maps/place/Torre+Construtora/data=!4m5!3m4!1s0x935ef7d43a687697:0x9f6fc79a38a7a577!8m2!3d-16.7616385!4d-49.3381413?authuser=0&hl=pt-BR&rclk=1|Torre Construtora|5,0|3 avaliações||R. 13-E, quadra 20 - Lt. 04 - St. Garavelo Res. Park, Aparecida de Goiânia - GO, 74932-320||instagran.com
https://www.google.com/maps/place/Construtora+Barbosa+-+Reforma,+Pintura,+Cer%C3%A2mica,+Porcelanato,+Constru%C3%A7%C3%A3o+da+Funda%C3%A7%C3%A3o+at%C3%A9+o+Acabamento,+Hidr%C3%A1ulica+e+El%C3%A9trica,+Pedreiro,+Vila+Oliveira,+Garavelo,+Aparecida+de+Goi%C3%A2nia/data=!4m5!3m4!1s0x935efb1916d07983:0x2f8464dd445144c7!8m2!3d-16.7729111!4d-49.3374028?authuser=0&hl=pt-BR&rclk=1|Construtora Barbosa - Reforma, Pintura, Cerâmica, Porcelanato, Construção da Fundação até o Acabamento, Hidráulica e Elétrica, Pedreiro, Vila Oliveira, Garavelo, Aparecida de Goiânia|3,0|4 avaliações|Construtora|Rua Realgar, Qd 25 Lote 08 - Vila Oliveira, Aparecida de Goiânia - GO, 74955-430|whats.link|negocio.site
https://www.google.com/maps/place/Mc+Company/data=!4m5!3m4!1s0x935ef3f4edd84c29:0x206f19d2ceda94b4!8m2!3d-16.6622818!4d-49.2806086?authuser=0&hl=pt-BR&rclk=1|Mc Company|5,0|3 avaliações|Fabricante|R. 2, 183-321 - Vila Isaura, Goiânia - GO, 74553-040|8PQ9+3Q Vila Isaura, Goiânia - GO|Reivindicar esta empresa
https://www.google.com/maps/place/AS+Pinturas/data=!4m5!3m4!1s0x935ef9c262f464a9:0x15f31c391ea2e385!8m2!3d-16.7715785!4d-49.3398089?authuser=0&hl=pt-BR&rclk=1|AS Pinturas|5,0|4 avaliações|Construtora|R. 22-C, 21 - St. Garavelo, Aparecida de Goiânia - GO, 74930-410|(62) 99220-8629|6MH6+93 St. Garavelo, Aparecida de Goiânia - GO
https://www.google.com/maps/place/Rei+Davi+Terraplanagem/data=!4m5!3m4!1s0x935efa98343ba695:0xb7dd69213e1dc44b!8m2!3d-16.9449315!4d-49.1742662?authuser=0&hl=pt-BR&rclk=1|Rei Davi Terraplanagem|3,2|9 avaliações|Empresa de Terraplenagem||(62) 99619-7745|
